id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id
GEN-SMT-0075,PLTU Koto Ringin,PLTU Koto Ringin,PLTU,6.0,Riau,Sumatra,existing,,combustion,0.8266724,102.0653312,way/939125630,coal,,OSM-overpass
GEN-SMT-0076,PLTGU Musi II,PLTGU Musi II,PLTGU,30.0,Sumatera Selatan,Sumatra,existing,,,-3.0256146,104.7169483,way/940047516,gas,,OSM-overpass
GEN-SMT-0077,PLTG Borang,PLTG Borang,PLTG,,Sumatera Selatan,Sumatra,existing,,combustion,-2.9228194,104.8721878,way/940047517,gas,NO_CAPACITY,OSM-overpass
GEN-SMT-0078,PLTG Palembang Timur,Palembang Timur Power Plant,PLTG,150.0,Sumatera Selatan,Sumatra,existing,,,-2.9285278,104.8706872,way/940047518,gas,,OSM-overpass
GEN-SMT-0079,PLTD Sungai Juaro,PLTD Sungai Juaro,PLTD,25.0,Sumatera Selatan,Sumatra,existing,,,-2.9678089,104.8091881,way/940047527,diesel,,OSM-overpass
GEN-SMT-0080,PLTU Banjarsari,PLTU Banjarsari,PLTU,270.0,Sumatera Selatan,Sumatra,existing,PT Bukit Pembangkit Innovative,combustion,-3.7244961,103.6902133,way/940526241,coal,,OSM-overpass
GEN-SMT-0081,PLTG Arun Aceh LNG,Arun Aceh LNG Gas Power Plant,PLTG,,Aceh,Sumatra,existing,,combustion,5.2249277,97.0780487,way/943366985,gas,NO_CAPACITY,OSM-overpass
GEN-SMT-0082,PLTU Sinar Mas Lontar Jambi,Sinar Mas Jambi Lontar Power Plant,Unknown,,Jambi,Sumatra,existing,,,-1.0077707,103.0821877,way/946699119,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0083,PLTU Galang Batang,PLTU Galang Batang,PLTU,200.0,Kepulauan Riau,Batam,existing,,combustion,0.9070262,104.6266815,way/948167520,coal,,OSM-overpass
GEN-SMT-0084,PLTD Batu Ampar,PLTD Batu Ampar,PLTD,10.0,Kepulauan Riau,Batam,existing,,,1.1786981,104.0226732,way/948167521,diesel,,OSM-overpass
GEN-SMT-0085,PLTD Padang,PLTD Padang,PLTD,5.0,Kepulauan Bangka Belitung,Babel,existing,,,-2.8670846,108.2535495,way/953023894,diesel,,OSM-overpass
GEN-SMT-0086,PLTU Suge,PLTU Suge,PLTU,33.0,Kepulauan Bangka Belitung,Babel,existing,,combustion,-2.8929037,107.5637904,way/953023896,coal,,OSM-overpass
GEN-SMT-0087,PLTA Air Putih,PLTA Air Putih,PLTA,21.0,Bengkulu,Sumatra,existing,,,-3.0731025,102.1468811,way/956594055,hydro,,OSM-overpass
GEN-SMT-0088,PLTA Lebong,PLTA Lebong,PLTA,14.0,Bengkulu,Sumatra,existing,,,-3.1905433,102.306329,way/956594057,hydro,,OSM-overpass
GEN-SMT-0089,PLTA Tes,PLTA Tes,PLTA,18.0,Bengkulu,Sumatra,existing,,,-3.2067037,102.3181629,way/956594058,hydro,,OSM-overpass
GEN-SMT-0090,PLTD Suka Merindu,PLTD Suka Merindu,PLTD,33.0,Bengkulu,Sumatra,existing,,,-3.7878255,102.268821,way/956594059,diesel,,OSM-overpass
GEN-SMT-0091,PLTA Wampu,PLTA Wampu,PLTA,45.0,Sumatera Utara,Sumatra,existing,,,3.2549323,98.212291,way/957085166,hydro,,OSM-overpass
GEN-SMT-0092,PLTA Batutegi,PLTA Batutegi,PLTA,90.0,Lampung,Sumatra,existing,,,-5.25557,104.7828233,way/958109271,hydro,,OSM-overpass
GEN-SMT-0093,PLTA Hasang,PLTA Hasang,PLTA,39.0,Sumatera Utara,Sumatra,existing,,,2.2989375,99.474152,way/958172154,hydro,,OSM-overpass
GEN-SMT-0094,PLTA Tangga,PLTA Tangga,PLTA,317.0,Sumatera Utara,Sumatra,existing,,,2.5606618,99.3098214,way/958172156,hydro,,OSM-overpass
GEN-SMT-0095,PLTD Aneuk Laot,PLTD Aneuk Laot,PLTD,4.0,Aceh,Sumatra,existing,,,5.8749983,95.3278944,way/958644942,diesel,,OSM-overpass
GEN-SMT-0096,PLTD Cot Abeuk,PLTD Cot Abeuk,PLTD,6.0,Aceh,Sumatra,existing,,,5.8555154,95.345612,way/958644943,diesel,,OSM-overpass
GEN-SMT-0097,PLTD Seurapong,PLTD Seurapong,PLTD,0.5,Aceh,Sumatra,existing,,,5.6696603,95.0755434,way/958644944,diesel,,OSM-overpass
GEN-SMT-0098,PLTD Deudap,PLTD Deudap,PLTD,0.3,Aceh,Sumatra,existing,,,5.6084823,95.171582,way/958644945,diesel,,OSM-overpass
GEN-SMT-0099,MV Karadeniz Powership Onur Sultan,MV Karadeniz Powership Onur Sultan,PLTG,,Sumatera Utara,Sumatra,existing,,combustion,3.7755498,98.6697348,way/1034545850,gas,NO_CAPACITY,OSM-overpass
GEN-SMT-0100,PLTU Semaran,PLTU Semaran,PLTU,,Jambi,Sumatra,existing,,,-2.1243999,102.8527342,way/1052212667,biomass,NO_CAPACITY,OSM-overpass
GEN-SMT-0101,Pembangkit Riau MRPR,Riau (MRPR) Power Plant,Unknown,,Riau,Sumatra,existing,,,0.5396725,101.5205226,way/1107800132,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0102,Waterkracht Centrale Koerandji,Waterkracht Centrale Koerandji,PLTA,,Sumatera Barat,Sumatra,existing,,run-of-the-river,-0.9067185,100.456433,way/1127696139,hydro,NO_CAPACITY,OSM-overpass
GEN-SMT-0103,PLTMG MPP Nias,PLTMG MPP Nias,PLTMG,25.0,Sumatera Utara,Sumatra,existing,,combustion,1.2084754,97.6782952,way/1180199241,gas,,OSM-overpass
GEN-SMT-0104,PLTG Nias,PLTG Nias,PLTG,25.0,Sumatera Utara,Sumatra,existing,,combustion,1.2103007,97.6781772,way/1180199242,gas,,OSM-overpass
