id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
RUPTL:RUPTL-KALIMANTAN-P-0048,,RUPTL-KALIMANTAN-P-0048,Kalimantan (Kuota) Tersebar2),PLTBg,3.8,Kalimantan Tengah,,Planned,,,,-1.754598,113.562079,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3.8,,PLTBg,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0049,,RUPTL-KALIMANTAN-P-0049,Kalimantan-2,PLTG,100.0,Kalimantan Tengah,,Planned,,,,-1.696264,113.550669,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTG,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0050,,RUPTL-KALIMANTAN-P-0050,Sampit,PLTU,50.0,Kalimantan Tengah,,Construction,,,,-2.481698,112.920845,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,50.0,,PLTU,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0051,,RUPTL-KALIMANTAN-P-0051,MT Hybrid Kalselteng 4,PLTS,40.0,Kalimantan Tengah,,Planned,,,,-1.373302,113.567473,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,40.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0052,,RUPTL-KALIMANTAN-P-0052,MT Hybrid Kalselteng 4,PLTS,25.0,Kalimantan Tengah,,Planned,,,,-1.373302,113.567473,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,25.0,,PLTS,,,,,,,,,,
GEN-KLM-0032,GEN-KLM-0032,RUPTL-KALIMANTAN-P-0053,PLTU Kalselteng-1 Pulang Pisau,PLTU,200.0,Kalimantan Tengah,Kalselteng,existing,Utility,,,-1.3733024,113.5674728,CONFIRMED_MATCH,1.00,"coord 0.0 km ≤ 2.0, type=PLTU matches, capacity diff 0% ≤ 20%",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,200.0,200.0,PLTU,PLTU,Utility,,false,false,,false,way/955122312,,OSM-overpass,NO_CAPACITY;NO_TYPE
RUPTL:RUPTL-KALIMANTAN-P-0054,,RUPTL-KALIMANTAN-P-0054,Muara Juloi,PLTA,3401.0,Kalimantan Tengah,,Planned,,,,-0.867552,114.865896,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,3401.0,,PLTA,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0056,,RUPTL-KALIMANTAN-P-0056,Lisdes Kalteng,PLTS,13.8,Kalimantan Tengah,,Planned,,,,-2.824546,114.211797,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,13.8,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0059,,RUPTL-KALIMANTAN-P-0059,Kalimantan,PLTGU,400.0,Kalimantan Timur,,Planned,,,,0.347436,116.243924,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,400.0,,PLTGU,,,,,,,,,,
GEN-KLM-0052,GEN-KLM-0052,RUPTL-KALIMANTAN-P-0060,PLTS IKN,PLTS,50.0,Kalimantan Timur,Mahakam,existing,Utility,Nusantara Sembcorp Solar Energi,photovoltaic,-0.9898017,116.6382959,CONFIRMED_MATCH,1.00,"coord 0.0 km ≤ 2.0, type=PLTS matches, capacity diff 0% ≤ 20%",ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,50.0,50.0,PLTS,PLTS,Utility,,false,false,,false,way/1303917776,solar,OSM-overpass,
RUPTL:RUPTL-KALIMANTAN-P-0061,,RUPTL-KALIMANTAN-P-0061,Kaltim Peaker 2,PLTG,100.0,Kalimantan Timur,,Planned,,,,-1.170085,116.78846,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTG,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0062,,RUPTL-KALIMANTAN-P-0062,Kaltim-1,PLTGU,250.0,Kalimantan Timur,,Planned,,,,-1.170085,116.78846,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,250.0,,PLTGU,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0063,,RUPTL-KALIMANTAN-P-0063,Kaltara/ Kaltimra***),PLTGU,100.0,Kalimantan Timur,,Planned,,,,0.413365,116.442302,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTGU,,,,,,,,,,
